HouseID,Round,City,CAS,Compound,Date_collect,Adj_ppbV,Lon,Lat,CensusTract
H14,1,Beaumont,95-47-6,o-Xylene,2024-11-12,0.075,-94.135127,30.052512,48245002200
H15,1,Beaumont,71-43-2,Benzene,2024-11-12,0.13,-94.157451,30.100586,48245000311
H15,1,Beaumont,108-88-3,Toluene,2024-11-12,0.28,-94.157451,30.100586,48245000311
H15,1,Beaumont,100-41-4,Ethylbenzene,2024-11-12,0.105,-94.157451,30.100586,48245000311
H15,1,Beaumont,179601-23-1,"m,p-Xylenes",2024-11-12,0.2,-94.157451,30.100586,48245000311
H15,1,Beaumont,95-47-6,o-Xylene,2024-11-12,0.1,-94.157451,30.100586,48245000311
H16,1,Beaumont,71-43-2,Benzene,2024-11-12,0.125,-94.129179,30.089383,48245001100
H16,1,Beaumont,108-88-3,Toluene,2024-11-12,0.38,-94.129179,30.089383,48245001100
H16,1,Beaumont,100-41-4,Ethylbenzene,2024-11-12,0.1,-94.129179,30.089383,48245001100
H16,1,Beaumont,179601-23-1,"m,p-Xylenes",2024-11-12,0.19,-94.129179,30.089383,48245001100
H16,1,Beaumont,95-47-6,o-Xylene,2024-11-12,0.095,-94.129179,30.089383,48245001100
H17,1,Beaumont,71-43-2,Benzene,2024-11-12,0.3,-94.102812,30.093333,48245011700
H17,1,Beaumont,108-88-3,Toluene,2024-11-12,3.1,-94.102812,30.093333,48245011700
H17,1,Beaumont,100-41-4,Ethylbenzene,2024-11-12,0.08,-94.102812,30.093333,48245011700
H17,1,Beaumont,179601-23-1,"m,p-Xylenes",2024-11-12,0.155,-94.102812,30.093333,48245011700
H17,1,Beaumont,95-47-6,o-Xylene,2024-11-12,0.08,-94.102812,30.093333,48245011700
H18,1,Beaumont,71-43-2,Benzene,2024-11-12,3.25,-94.155987,30.077034,48245001301
H18,1,Beaumont,108-88-3,Toluene,2024-11-12,2.95,-94.155987,30.077034,48245001301
H18,1,Beaumont,100-41-4,Ethylbenzene,2024-11-12,2.6,-94.155987,30.077034,48245001301
H18,1,Beaumont,179601-23-1,"m,p-Xylenes",2024-11-12,5,-94.155987,30.077034,48245001301
H18,1,Beaumont,95-47-6,o-Xylene,2024-11-12,2.55,-94.155987,30.077034,48245001301
H20,1,Beaumont,71-43-2,Benzene,2024-11-12,0.095,-94.145314,30.126498,48245000200
H20,1,Beaumont,108-88-3,Toluene,2024-11-12,0.085,-94.145314,30.126498,48245000200
H20,1,Beaumont,100-41-4,Ethylbenzene,2024-11-12,0.075,-94.145314,30.126498,48245000200
H20,1,Beaumont,179601-23-1,"m,p-Xylenes",2024-11-12,0.15,-94.145314,30.126498,48245000200
H20,1,Beaumont,95-47-6,o-Xylene,2024-11-12,0.075,-94.145314,30.126498,48245000200
H22,1,Beaumont,71-43-2,Benzene,2024-11-12,0.13,-94.097225,30.056103,48245002400
H22,1,Beaumont,108-88-3,Toluene,2024-11-12,0.4,-94.097225,30.056103,48245002400
H22,1,Beaumont,100-41-4,Ethylbenzene,2024-11-12,0.105,-94.097225,30.056103,48245002400
H22,1,Beaumont,179601-23-1,"m,p-Xylenes",2024-11-12,0.205,-94.097225,30.056103,48245002400
H22,1,Beaumont,95-47-6,o-Xylene,2024-11-12,0.105,-94.097225,30.056103,48245002400
H23,1,Beaumont,71-43-2,Benzene,2024-11-12,0.12,-94.104046,30.047489,48245002300
H23,1,Beaumont,108-88-3,Toluene,2024-11-12,0.56,-94.104046,30.047489,48245002300
H23,1,Beaumont,100-41-4,Ethylbenzene,2024-11-12,0.095,-94.104046,30.047489,48245002300
H23,1,Beaumont,179601-23-1,"m,p-Xylenes",2024-11-12,0.185,-94.104046,30.047489,48245002300
H23,1,Beaumont,95-47-6,o-Xylene,2024-11-12,0.095,-94.104046,30.047489,48245002300
H24,1,Beaumont,71-43-2,Benzene,2024-11-12,0.125,-94.083943,30.035329,48245002600
H24,1,Beaumont,108-88-3,Toluene,2024-11-12,0.36,-94.083943,30.035329,48245002600
H24,1,Beaumont,100-41-4,Ethylbenzene,2024-11-12,0.1,-94.083943,30.035329,48245002600
H24,1,Beaumont,179601-23-1,"m,p-Xylenes",2024-11-12,0.195,-94.083943,30.035329,48245002600
H24,1,Beaumont,95-47-6,o-Xylene,2024-11-12,0.1,-94.083943,30.035329,48245002600
H25,1,Beaumont,71-43-2,Benzene,2024-11-12,0.125,-94.183696,30.062625,48245001302
H25,1,Beaumont,108-88-3,Toluene,2024-11-12,0.55,-94.183696,30.062625,48245001302
H25,1,Beaumont,100-41-4,Ethylbenzene,2024-11-12,0.095,-94.183696,30.062625,48245001302
H25,1,Beaumont,179601-23-1,"m,p-Xylenes",2024-11-12,0.19,-94.183696,30.062625,48245001302
H25,1,Beaumont,95-47-6,o-Xylene,2024-11-12,0.095,-94.183696,30.062625,48245001302
H26,1,Beaumont,71-43-2,Benzene,2024-11-12,0.21,-94.183642,30.105964,48245000312
H26,1,Beaumont,108-88-3,Toluene,2024-11-12,0.36,-94.183642,30.105964,48245000312
H26,1,Beaumont,100-41-4,Ethylbenzene,2024-11-12,0.08,-94.183642,30.105964,48245000312
H26,1,Beaumont,179601-23-1,"m,p-Xylenes",2024-11-12,0.16,-94.183642,30.105964,48245000312
H26,1,Beaumont,95-47-6,o-Xylene,2024-11-12,0.08,-94.183642,30.105964,48245000312
H27,1,Beaumont,71-43-2,Benzene,2024-11-12,0.135,-94.107203,30.103959,48245000700
H27,1,Beaumont,108-88-3,Toluene,2024-11-12,0.58,-94.107203,30.103959,48245000700
H27,1,Beaumont,100-41-4,Ethylbenzene,2024-11-12,0.105,-94.107203,30.103959,48245000700
H27,1,Beaumont,179601-23-1,"m,p-Xylenes",2024-11-12,0.21,-94.107203,30.103959,48245000700
H27,1,Beaumont,95-47-6,o-Xylene,2024-11-12,0.105,-94.107203,30.103959,48245000700
H29,1,Beaumont,71-43-2,Benzene,2024-11-12,0.14,-94.114972,30.128364,48245000103
H29,1,Beaumont,108-88-3,Toluene,2024-11-12,0.125,-94.114972,30.128364,48245000103
H29,1,Beaumont,100-41-4,Ethylbenzene,2024-11-12,0.11,-94.114972,30.128364,48245000103
H29,1,Beaumont,179601-23-1,"m,p-Xylenes",2024-11-12,0.215,-94.114972,30.128364,48245000103
H29,1,Beaumont,95-47-6,o-Xylene,2024-11-12,0.11,-94.114972,30.128364,48245000103
H30,1,Beaumont,71-43-2,Benzene,2024-11-12,0.11,-94.182626,30.028579,48245001303
H30,1,Beaumont,108-88-3,Toluene,2024-11-12,0.42,-94.182626,30.028579,48245001303
H30,1,Beaumont,100-41-4,Ethylbenzene,2024-11-12,0.085,-94.182626,30.028579,48245001303
H30,1,Beaumont,179601-23-1,"m,p-Xylenes",2024-11-12,0.17,-94.182626,30.028579,48245001303
H30,1,Beaumont,95-47-6,o-Xylene,2024-11-12,0.085,-94.182626,30.028579,48245001303
H32,1,Beaumont,71-43-2,Benzene,2024-11-12,0.68,-94.134255,30.117755,48245000500
H32,1,Beaumont,108-88-3,Toluene,2024-11-12,2.3,-94.134255,30.117755,48245000500
H32,1,Beaumont,100-41-4,Ethylbenzene,2024-11-12,0.23,-94.134255,30.117755,48245000500
H32,1,Beaumont,179601-23-1,"m,p-Xylenes",2024-11-12,0.78,-94.134255,30.117755,48245000500
H32,1,Beaumont,95-47-6,o-Xylene,2024-11-12,0.33,-94.134255,30.117755,48245000500
H33,1,Beaumont,71-43-2,Benzene,2024-11-12,0.11,-94.188301,30.150996,48245000101
H33,1,Beaumont,108-88-3,Toluene,2024-11-12,0.44,-94.188301,30.150996,48245000101
H33,1,Beaumont,100-41-4,Ethylbenzene,2024-11-12,0.085,-94.188301,30.150996,48245000101
H33,1,Beaumont,179601-23-1,"m,p-Xylenes",2024-11-12,0.17,-94.188301,30.150996,48245000101
H33,1,Beaumont,95-47-6,o-Xylene,2024-11-12,0.085,-94.188301,30.150996,48245000101
H34,1,Beaumont,71-43-2,Benzene,2024-11-12,0.12,-94.083725,30.063792,48245001700
H34,1,Beaumont,108-88-3,Toluene,2024-11-12,0.36,-94.083725,30.063792,48245001700
H34,1,Beaumont,100-41-4,Ethylbenzene,2024-11-12,0.095,-94.083725,30.063792,48245001700
H34,1,Beaumont,179601-23-1,"m,p-Xylenes",2024-11-12,0.19,-94.083725,30.063792,48245001700
H34,1,Beaumont,95-47-6,o-Xylene,2024-11-12,0.095,-94.083725,30.063792,48245001700
H35,1,Beaumont,71-43-2,Benzene,2024-11-12,0.24,-94.122242,30.116043,48245000600
H35,1,Beaumont,108-88-3,Toluene,2024-11-12,0.65,-94.122242,30.116043,48245000600
H35,1,Beaumont,100-41-4,Ethylbenzene,2024-11-12,0.085,-94.122242,30.116043,48245000600
H35,1,Beaumont,179601-23-1,"m,p-Xylenes",2024-11-12,0.33,-94.122242,30.116043,48245000600
H35,1,Beaumont,95-47-6,o-Xylene,2024-11-12,0.085,-94.122242,30.116043,48245000600
H36,1,Beaumont,71-43-2,Benzene,2024-11-12,0.11,-94.106827,30.103498,48245000700
H36,1,Beaumont,108-88-3,Toluene,2024-11-12,0.34,-94.106827,30.103498,48245000700
H36,1,Beaumont,100-41-4,Ethylbenzene,2024-11-12,0.22,-94.106827,30.103498,48245000700
H36,1,Beaumont,179601-23-1,"m,p-Xylenes",2024-11-12,0.39,-94.106827,30.103498,48245000700
H36,1,Beaumont,95-47-6,o-Xylene,2024-11-12,0.085,-94.106827,30.103498,48245000700
H37,1,Beaumont,71-43-2,Benzene,2024-11-12,0.13,-94.106197,30.117658,48245000700
H37,1,Beaumont,108-88-3,Toluene,2024-11-12,0.4,-94.106197,30.117658,48245000700
H37,1,Beaumont,100-41-4,Ethylbenzene,2024-11-12,0.105,-94.106197,30.117658,48245000700
H37,1,Beaumont,179601-23-1,"m,p-Xylenes",2024-11-12,0.205,-94.106197,30.117658,48245000700
H37,1,Beaumont,95-47-6,o-Xylene,2024-11-12,0.105,-94.106197,30.117658,48245000700
H38,1,Port Arthur,71-43-2,Benzene,2024-11-10,0.51,-93.907979,29.898488,48245005500
H38,1,Port Arthur,108-88-3,Toluene,2024-11-10,0.34,-93.907979,29.898488,48245005500
H38,1,Port Arthur,100-41-4,Ethylbenzene,2024-11-10,0.09,-93.907979,29.898488,48245005500
H38,1,Port Arthur,179601-23-1,"m,p-Xylenes",2024-11-10,0.175,-93.907979,29.898488,48245005500
H38,1,Port Arthur,95-47-6,o-Xylene,2024-11-10,0.09,-93.907979,29.898488,48245005500
H39,1,Port Arthur,71-43-2,Benzene,2024-11-10,0.6,-93.929528,29.890545,48245006300
H39,1,Port Arthur,108-88-3,Toluene,2024-11-10,0.7,-93.929528,29.890545,48245006300
H39,1,Port Arthur,100-41-4,Ethylbenzene,2024-11-10,0.09,-93.929528,29.890545,48245006300
H39,1,Port Arthur,179601-23-1,"m,p-Xylenes",2024-11-10,0.175,-93.929528,29.890545,48245006300
H39,1,Port Arthur,95-47-6,o-Xylene,2024-11-10,0.09,-93.929528,29.890545,48245006300
H40,1,Port Arthur,71-43-2,Benzene,2024-11-10,0.53,-93.949403,29.863086,48245005100
H40,1,Port Arthur,108-88-3,Toluene,2024-11-10,1.5,-93.949403,29.863086,48245005100
H40,1,Port Arthur,100-41-4,Ethylbenzene,2024-11-10,0.075,-93.949403,29.863086,48245005100
H40,1,Port Arthur,179601-23-1,"m,p-Xylenes",2024-11-10,0.15,-93.949403,29.863086,48245005100
H40,1,Port Arthur,95-47-6,o-Xylene,2024-11-10,0.075,-93.949403,29.863086,48245005100
H42,1,Port Arthur,71-43-2,Benzene,2024-11-10,0.11,-93.944946,29.880296,48245006100
H42,1,Port Arthur,108-88-3,Toluene,2024-11-10,0.32,-93.944946,29.880296,48245006100
H42,1,Port Arthur,100-41-4,Ethylbenzene,2024-11-10,0.085,-93.944946,29.880296,48245006100
H42,1,Port Arthur,179601-23-1,"m,p-Xylenes",2024-11-10,0.17,-93.944946,29.880296,48245006100
H42,1,Port Arthur,95-47-6,o-Xylene,2024-11-10,0.085,-93.944946,29.880296,48245006100
H43,1,Port Arthur,71-43-2,Benzene,2024-11-10,0.105,-93.956598,29.873393,48245005900
H43,1,Port Arthur,108-88-3,Toluene,2024-11-10,0.25,-93.956598,29.873393,48245005900
H43,1,Port Arthur,100-41-4,Ethylbenzene,2024-11-10,0.085,-93.956598,29.873393,48245005900
H43,1,Port Arthur,179601-23-1,"m,p-Xylenes",2024-11-10,0.165,-93.956598,29.873393,48245005900
H43,1,Port Arthur,95-47-6,o-Xylene,2024-11-10,0.08,-93.956598,29.873393,48245005900
H45,1,Port Arthur,71-43-2,Benzene,2024-11-10,0.89,-94.008591,29.882819,48245006900
H45,1,Port Arthur,108-88-3,Toluene,2024-11-10,2,-94.008591,29.882819,48245006900
H45,1,Port Arthur,100-41-4,Ethylbenzene,2024-11-10,0.4,-94.008591,29.882819,48245006900
H45,1,Port Arthur,179601-23-1,"m,p-Xylenes",2024-11-10,1.1,-94.008591,29.882819,48245006900
H45,1,Port Arthur,95-47-6,o-Xylene,2024-11-10,0.43,-94.008591,29.882819,48245006900
H46,1,Port Arthur,71-43-2,Benzene,2024-11-10,0.11,-93.927968,29.908813,48245006700
H46,1,Port Arthur,108-88-3,Toluene,2024-11-10,0.31,-93.927968,29.908813,48245006700
H46,1,Port Arthur,100-41-4,Ethylbenzene,2024-11-10,0.085,-93.927968,29.908813,48245006700
H46,1,Port Arthur,179601-23-1,"m,p-Xylenes",2024-11-10,0.17,-93.927968,29.908813,48245006700
H46,1,Port Arthur,95-47-6,o-Xylene,2024-11-10,0.085,-93.927968,29.908813,48245006700
H47,1,Port Arthur,71-43-2,Benzene,2024-11-10,0.11,-93.92258,29.912811,48245006500
H47,1,Port Arthur,108-88-3,Toluene,2024-11-10,0.24,-93.92258,29.912811,48245006500
H47,1,Port Arthur,100-41-4,Ethylbenzene,2024-11-10,0.09,-93.92258,29.912811,48245006500
H47,1,Port Arthur,179601-23-1,"m,p-Xylenes",2024-11-10,0.175,-93.92258,29.912811,48245006500
H47,1,Port Arthur,95-47-6,o-Xylene,2024-11-10,0.085,-93.92258,29.912811,48245006500
H49,1,Port Arthur,71-43-2,Benzene,2024-11-10,0.115,-93.940917,29.883039,48245006100
H49,1,Port Arthur,108-88-3,Toluene,2024-11-10,0.29,-93.940917,29.883039,48245006100
H49,1,Port Arthur,100-41-4,Ethylbenzene,2024-11-10,0.09,-93.940917,29.883039,48245006100
H49,1,Port Arthur,179601-23-1,"m,p-Xylenes",2024-11-10,0.175,-93.940917,29.883039,48245006100
H49,1,Port Arthur,95-47-6,o-Xylene,2024-11-10,0.09,-93.940917,29.883039,48245006100
H50,1,Port Arthur,71-43-2,Benzene,2024-11-10,0.11,-93.936721,29.873035,48245006100
H50,1,Port Arthur,108-88-3,Toluene,2024-11-10,0.31,-93.936721,29.873035,48245006100
H50,1,Port Arthur,100-41-4,Ethylbenzene,2024-11-10,0.085,-93.936721,29.873035,48245006100
H50,1,Port Arthur,179601-23-1,"m,p-Xylenes",2024-11-10,0.17,-93.936721,29.873035,48245006100
H50,1,Port Arthur,95-47-6,o-Xylene,2024-11-10,0.085,-93.936721,29.873035,48245006100
H52,1,Port Arthur,71-43-2,Benzene,2024-11-10,0.115,-94.032487,29.894521,48245007100
H52,1,Port Arthur,108-88-3,Toluene,2024-11-10,0.25,-94.032487,29.894521,48245007100
H52,1,Port Arthur,100-41-4,Ethylbenzene,2024-11-10,0.09,-94.032487,29.894521,48245007100
H52,1,Port Arthur,179601-23-1,"m,p-Xylenes",2024-11-10,0.175,-94.032487,29.894521,48245007100
H52,1,Port Arthur,95-47-6,o-Xylene,2024-11-10,0.09,-94.032487,29.894521,48245007100
H55,1,Port Arthur,71-43-2,Benzene,2024-11-10,0.115,-93.919136,29.917704,48245006500
H55,1,Port Arthur,108-88-3,Toluene,2024-11-10,0.41,-93.919136,29.917704,48245006500
H55,1,Port Arthur,100-41-4,Ethylbenzene,2024-11-10,0.09,-93.919136,29.917704,48245006500
H55,1,Port Arthur,179601-23-1,"m,p-Xylenes",2024-11-10,0.175,-93.919136,29.917704,48245006500
H55,1,Port Arthur,95-47-6,o-Xylene,2024-11-10,0.09,-93.919136,29.917704,48245006500
H56,1,Port Arthur,71-43-2,Benzene,2024-11-10,0.23,-93.95589,29.873311,48245005900
H56,1,Port Arthur,108-88-3,Toluene,2024-11-10,0.99,-93.95589,29.873311,48245005900
H56,1,Port Arthur,100-41-4,Ethylbenzene,2024-11-10,0.18,-93.95589,29.873311,48245005900
H56,1,Port Arthur,179601-23-1,"m,p-Xylenes",2024-11-10,0.355,-93.95589,29.873311,48245005900
H56,1,Port Arthur,95-47-6,o-Xylene,2024-11-10,0.18,-93.95589,29.873311,48245005900
H57,1,Port Arthur,71-43-2,Benzene,2024-11-10,0.12,-93.896065,29.912205,48245010100
H57,1,Port Arthur,108-88-3,Toluene,2024-11-10,0.46,-93.896065,29.912205,48245010100
H57,1,Port Arthur,100-41-4,Ethylbenzene,2024-11-10,0.095,-93.896065,29.912205,48245010100
H57,1,Port Arthur,179601-23-1,"m,p-Xylenes",2024-11-10,0.18,-93.896065,29.912205,48245010100
H57,1,Port Arthur,95-47-6,o-Xylene,2024-11-10,0.09,-93.896065,29.912205,48245010100
H58,1,Port Arthur,71-43-2,Benzene,2024-11-10,0.21,-93.904312,29.912474,48245010100
H58,1,Port Arthur,108-88-3,Toluene,2024-11-10,0.72,-93.904312,29.912474,48245010100
H58,1,Port Arthur,100-41-4,Ethylbenzene,2024-11-10,0.08,-93.904312,29.912474,48245010100
H58,1,Port Arthur,179601-23-1,"m,p-Xylenes",2024-11-10,0.4,-93.904312,29.912474,48245010100
H58,1,Port Arthur,95-47-6,o-Xylene,2024-11-10,0.075,-93.904312,29.912474,48245010100
H59,1,Port Arthur,71-43-2,Benzene,2024-11-10,0.11,-93.933608,29.880435,48245011800
H59,1,Port Arthur,108-88-3,Toluene,2024-11-10,0.31,-93.933608,29.880435,48245011800
H59,1,Port Arthur,100-41-4,Ethylbenzene,2024-11-10,0.085,-93.933608,29.880435,48245011800
H59,1,Port Arthur,179601-23-1,"m,p-Xylenes",2024-11-10,0.17,-93.933608,29.880435,48245011800
H59,1,Port Arthur,95-47-6,o-Xylene,2024-11-10,0.085,-93.933608,29.880435,48245011800
H60,1,Port Arthur,71-43-2,Benzene,2024-11-10,0.115,-93.916772,29.917791,48245006500
H60,1,Port Arthur,108-88-3,Toluene,2024-11-10,0.3,-93.916772,29.917791,48245006500
H60,1,Port Arthur,100-41-4,Ethylbenzene,2024-11-10,0.09,-93.916772,29.917791,48245006500
H60,1,Port Arthur,179601-23-1,"m,p-Xylenes",2024-11-10,0.175,-93.916772,29.917791,48245006500
H60,1,Port Arthur,95-47-6,o-Xylene,2024-11-10,0.09,-93.916772,29.917791,48245006500
H01,2,Beaumont,71-43-2,Benzene,2024-12-11,0.105,-94.168784,30.152006,48245000102
H01,2,Beaumont,108-88-3,Toluene,2024-12-11,0.095,-94.168784,30.152006,48245000102
H01,2,Beaumont,100-41-4,Ethylbenzene,2024-12-11,0.085,-94.168784,30.152006,48245000102
H01,2,Beaumont,179601-23-1,"m,p-Xylenes",2024-12-11,0.165,-94.168784,30.152006,48245000102
H01,2,Beaumont,95-47-6,o-Xylene,2024-12-11,0.085,-94.168784,30.152006,48245000102
H02,2,Beaumont,71-43-2,Benzene,2024-12-11,0.23,-94.128362,30.061793,48245002100
H02,2,Beaumont,108-88-3,Toluene,2024-12-11,0.39,-94.128362,30.061793,48245002100
H02,2,Beaumont,100-41-4,Ethylbenzene,2024-12-11,0.085,-94.128362,30.061793,48245002100
H02,2,Beaumont,179601-23-1,"m,p-Xylenes",2024-12-11,0.165,-94.128362,30.061793,48245002100
H02,2,Beaumont,95-47-6,o-Xylene,2024-12-11,0.085,-94.128362,30.061793,48245002100
H04,2,Beaumont,71-43-2,Benzene,2024-12-11,0.115,-94.175963,30.136058,48245000101
H04,2,Beaumont,108-88-3,Toluene,2024-12-11,0.1,-94.175963,30.136058,48245000101
H04,2,Beaumont,100-41-4,Ethylbenzene,2024-12-11,0.09,-94.175963,30.136058,48245000101
H04,2,Beaumont,179601-23-1,"m,p-Xylenes",2024-12-11,0.175,-94.175963,30.136058,48245000101
H04,2,Beaumont,95-47-6,o-Xylene,2024-12-11,0.09,-94.175963,30.136058,48245000101
H05,2,Beaumont,71-43-2,Benzene,2024-12-11,0.12,-94.159639,30.099939,48245000311
H05,2,Beaumont,108-88-3,Toluene,2024-12-11,0.29,-94.159639,30.099939,48245000311
H05,2,Beaumont,100-41-4,Ethylbenzene,2024-12-11,0.095,-94.159639,30.099939,48245000311
H05,2,Beaumont,179601-23-1,"m,p-Xylenes",2024-12-11,0.19,-94.159639,30.099939,48245000311
H05,2,Beaumont,95-47-6,o-Xylene,2024-12-11,0.095,-94.159639,30.099939,48245000311
H06,2,Beaumont,71-43-2,Benzene,2024-12-11,0.22,-94.092144,30.051287,48245002400
H06,2,Beaumont,108-88-3,Toluene,2024-12-11,0.31,-94.092144,30.051287,48245002400
H06,2,Beaumont,100-41-4,Ethylbenzene,2024-12-11,0.08,-94.092144,30.051287,48245002400
H06,2,Beaumont,179601-23-1,"m,p-Xylenes",2024-12-11,0.16,-94.092144,30.051287,48245002400
H06,2,Beaumont,95-47-6,o-Xylene,2024-12-11,0.08,-94.092144,30.051287,48245002400
H07,2,Beaumont,71-43-2,Benzene,2024-12-11,0.105,-94.091608,30.059965,48245001900
H07,2,Beaumont,108-88-3,Toluene,2024-12-11,0.86,-94.091608,30.059965,48245001900
H07,2,Beaumont,100-41-4,Ethylbenzene,2024-12-11,0.085,-94.091608,30.059965,48245001900
